_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2406105,5186997,,,2019.0,PRIVATE,12,Toronto-St. Paul's,200 MADISON AVE,6,82,2023-01-31,100,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,S1237,43.676442017,-79.406812986,312299.706,4837164.375
2406106,5118732,2022.0,,2021.0,PRIVATE,13,Toronto Centre,25 NICHOLAS AVE,29,346,2023-01-27,100,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1330,,,316225.666,4835308.898
2406107,5156142,,,,PRIVATE,13,Toronto Centre,109 PEMBROKE ST,4,20,2023-01-27,67,Evaluation needs to be conducted in 2 years,14,3.0,4.0,3.0,3.0,2.0,3.0,,4.0,,,3.0,3.0,5.0,3.0,3.0,4.0,,4.0,,,S1328,43.660120206,-79.37282783010001,315041.50399999996,4835359.9180000005
2406108,5156008,2022.0,,1885.0,PRIVATE,9,Davenport,267 BROCK AVE,3,11,2023-01-24,73,Evaluation needs to be conducted in 2 years,14,3.0,3.0,4.0,4.0,,4.0,,5.0,5.0,,3.0,4.0,3.0,2.0,4.0,3.0,,4.0,,,S0936,43.649450698,-79.43510564600001,310019.153,4834169.75
2406109,5156127,2022.0,,1972.0,PRIVATE,13,Toronto Centre,33 WOOD ST,30,240,2023-01-24,93,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,S1326,43.662341118,-79.381432692,314346.855,4835606.614
2406110,5132414,2022.0,,2018.0,PRIVATE,11,University-Rosedale,55 GERRARD ST W,43,595,2023-01-24,99,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1145,43.658443735,-79.383996717,314140.697,4835173.342
2406111,5207679,2023.0,,2022.0,PRIVATE,12,Toronto-St. Paul's,215 LONSDALE RD,20,177,2023-01-23,100,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1231,,,312559.07,4838724.578
2406112,5175953,2022.0,,2022.0,PRIVATE,10,Spadina-Fort York,57 SPADINA AVE,36,286,2023-01-20,100,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1033,43.644956232,-79.39447143699999,313302.359,4833678.686000001
2406113,4154229,2017.0,,1968.0,PRIVATE,7,Humber River-Black Creek,2770 JANE ST,4,144,2023-01-19,85,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,,W0729,43.7474006174,-79.5159466744,303500.287,4845048.686000001
2406114,5156112,2022.0,,1958.0,PRIVATE,12,Toronto-St. Paul's,210 VAUGHAN RD,4,25,2023-01-19,75,Evaluation needs to be conducted in 2 years,15,3.0,3.0,5.0,5.0,3.0,4.0,,4.0,,,3.0,3.0,5.0,3.0,4.0,4.0,,4.0,3.0,,S1229,43.687311357,-79.423463821,310954.409,4838376.712
